LSID,Species Name,Taxon Concept,Taxon Rank,Kingdom,Phylum,Class,Order,Family,Genus,Vernacular Name,Number of records,Invasive
"Sticta canariensis|NBNSYS0000019361||Fungi|Lobariaceae","Sticta canariensis","(Bory) Bory ex Delise",,"SPECIES","Fungi","Ascomycota","Lecanoromycetes","Peltigerales","Lobariaceae","Sticta","Sticta canariensis",,"5",""
"Stilbia anomala|NBNSYS0000006500|Anomalous|Animalia|Noctuidae","Stilbia anomala","(Haworth, 1812)",,"SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Stilbia","Stilbia anomala",,"5",""
"Thalloidima sedifolium|BMSSYS0000731217||Fungi|Ramalinaceae","Thalloidima sedifolium","(Scop.) Kistenich, Timdal, Bendiksby & S. Ekman",,"SPECIES","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Ramalinaceae","Thalloidima","Thalloidima sedifolium",,"3",""
"Triturus cristatus|NHMSYS0000080156|Great Crested Newt|Animalia|Salamandridae","Triturus cristatus","(Laurenti, 1768)",,"SPECIES","Animalia","Chordata","Amphibia","Caudata","Salamandridae","Triturus","Triturus cristatus",,"1",""
"Turdus philomelos clarkei|NHMSYS0020303239||Animalia|Turdidae","Turdus philomelos clarkei","Hartert, 1909",,"SUBSPECIES","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus philomelos",,"1",""
"Turdus torquatus|NHMSYS0000530681|Ring Ouzel|Animalia|Turdidae","Turdus torquatus","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus torquatus",,"29",""
"Tursiops truncatus|NBNSYS0000005179|Bottle-nosed Dolphin|Animalia|Delphinidae","Tursiops truncatus","(Montagu, 1821)",,"SPECIES","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Tursiops","Tursiops truncatus",,"2",""
"Tyria jacobaeae|NBNSYS0000006155|Cinnabar|Animalia|Erebidae","Tyria jacobaeae","(Linnaeus, 1758)",,"SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Tyria","Tyria jacobaeae",,"8",""
"Vanellus vanellus|NBNSYS0000000027|Lapwing|Animalia|Charadriidae","Vanellus vanellus","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Vanellus","Vanellus vanellus",,"10",""
"Vipera berus|NBNSYS0000005075|Adder|Animalia|Viperidae","Vipera berus","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Reptilia","Squamata","Viperidae","Vipera","Vipera berus",,"31",""
"Xestia agathina|NBNSYS0000006226|Heath Rustic|Animalia|Noctuidae","Xestia agathina","(Duponchel, 1827)",,"SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Xestia","Xestia agathina",,"1",""
"Xestia castanea|NHMSYS0000504669|Neglected Rustic|Animalia|Noctuidae","Xestia castanea","(Esper, 1798)",,"SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Xestia","Xestia castanea",,"4",""
"Zootoca vivipara|NHMSYS0001706186|Common Lizard|Animalia|Lacertidae","Zootoca vivipara","(Jacquin, 1787)",,"SPECIES","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Zootoca","Zootoca vivipara",,"16",""
