LSID,Species Name,Taxon Concept,Taxon Rank,Kingdom,Phylum,Class,Order,Family,Genus,Vernacular Name,Number of records,Invasive,,
Leptogium saturninum|NBNSYS0000018787||Fungi|Collemataceae,Leptogium saturninum,(Dicks.) Nyl.,,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Collemataceae,Leptogium,Leptogium saturninum,,1,
Lepus europaeus|NHMSYS0000080218|Brown Hare|Animalia|Leporidae,Lepus europaeus,"Pallas, 1778",,SPECIES,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus europaeus,,6,The Wildlife (Northern Ireland) Order 1985 – Schedule 9|Non-native species of interest to Northern Ireland
Lepus timidus|NBNSYS0000005106|Mountain Hare|Animalia|Leporidae,Lepus timidus,"Linnaeus, 1758",,SPECIES,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus timidus,,1,
Linaria cannabina|NHMSYS0021004282|Linnet|Animalia|Fringillidae,Linaria cannabina,"(Linnaeus, 1758)",,SPECIES,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Linaria,Linaria cannabina,,28,
Linnaea borealis|NBNSYS0000004330|Twinflower|Plantae|Caprifoliaceae,Linnaea borealis,L.,,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Linnaea,Linnaea borealis,,1,
Lithospermum officinale|NBNSYS0000004016|Common Gromwell|Plantae|Boraginaceae,Lithospermum officinale,L.,,SPECIES,Plantae,Tracheophyta,Magnoliopsida,,Boraginaceae,Lithospermum,Lithospermum officinale,,2,
Lobaria pulmonaria|NBNSYS0000019311|Lungwort Lichen|Fungi|Lobariaceae,Lobaria pulmonaria,(L.) Hoffm.,,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae,Lobaria,Lobaria pulmonaria,,3,
Lobarina scrobiculata|BMSSYS0000010725||Fungi|Lobariaceae,Lobarina scrobiculata,(Scop.) Nyl. ex Cromb.,,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae,Lobarina,Lobarina scrobiculata,,2,
Locustella naevia|NHMSYS0000530444|Grasshopper Warbler|Animalia|Locustellidae,Locustella naevia,"(Boddaert, 1783)",,SPECIES,Animalia,Chordata,Aves,Passeriformes,Locustellidae,Locustella,Locustella naevia,,2,
Lutra lutra|NBNSYS0000005133|Otter|Animalia|Mustelidae,Lutra lutra,"(Linnaeus, 1758)",,SPECIES,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Lutra,Lutra lutra,,24,
Lycopodiella inundata|NBNSYS0000002001|Marsh Clubmoss|Plantae|Lycopodiaceae,Lycopodiella inundata,(L.) Holub,,SPECIES,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,Lycopodiella,Lycopodiella inundata,,9,
Lyrurus tetrix|NBNSYS0000172474|Black Grouse|Animalia|Phasianidae,Lyrurus tetrix,"(Linnaeus, 1758)",,SPECIES,Animalia,Chordata,Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,,1,
Melanitta nigra|NBNSYS0000000196|Common Scoter|Animalia|Anatidae,Melanitta nigra,"(Linnaeus, 1758)",,SPECIES,Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,Melanitta nigra,,1,
Meloe violaceus|NBNSYS0000024952|Violet Oil-beetle|Animalia|Meloidae,Meloe violaceus,"Marsham, 1802",,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Meloidae,Meloe,Meloe violaceus,,2,
Mentha arvensis|NBNSYS0000004195|Corn Mint|Plantae|Lamiaceae,Mentha arvensis,L.,,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Mentha,Mentha arvensis,,2,
Milvus milvus|NHMSYS0000530482|Red Kite|Animalia|Accipitridae,Milvus milvus,"(Linnaeus, 1758)",,SPECIES,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Milvus,Milvus milvus,,3,
Muscicapa striata|NHMSYS0000530498|Spotted Flycatcher|Animalia|Muscicapidae,Muscicapa striata,"(Pallas, 1764)",,SPECIES,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Muscicapa,Muscicapa striata,,84,
Mustela putorius|NBNSYS0000005129|Polecat|Animalia|Mustelidae,Mustela putorius,"Linnaeus, 1758",,SPECIES,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela putorius,,1,
Myotis daubentonii|NHMSYS0000528028|Daubenton's Bat|Animalia|Vespertilionidae,Myotis daubentonii,"(Kuhl, 1817)",,SPECIES,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis daubentonii,,8,
Myotis nattereri|NHMSYS0000080184|Natterer's Bat|Animalia|Vespertilionidae,Myotis nattereri,"(Kuhl, 1817)",,SPECIES,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis nattereri,,11,
Nephroma laevigatum|NBNSYS0000019317||Fungi|Nephromataceae,Nephroma laevigatum,Ach.,,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Nephromataceae,Nephroma,Nephroma laevigatum,,3,
Numenius arquata|NBNSYS0000000032|Curlew|Animalia|Scolopacidae,Numenius arquata,"(Linnaeus, 1758)",,SPECIES,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,Numenius arquata,,322,
Osmia bicornis|NHMSYS0000876509|Red Mason Bee|Animalia|Megachilidae,Osmia bicornis,"(Linnaeus, 1758)",,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Osmia,Osmia bicornis,,1,
Palustriella commutata|NHMSYS0021593122|Curled Hook-moss|Plantae|Amblystegiaceae,Palustriella commutata,(Hedw.) Ochyra,s.l.,SPECIES_AGGREGATE,Plantae,Bryophyta,Bryopsida,Hypnales,Amblystegiaceae,Palustriella,,,4,
Passer domesticus|NHMSYS0000530537|House Sparrow|Animalia|Passeridae,Passer domesticus,"(Linnaeus, 1758)",,SPECIES,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,Passer domesticus,,192,
Passer montanus|NHMSYS0000530539|Tree Sparrow|Animalia|Passeridae,Passer montanus,"(Linnaeus, 1758)",,SPECIES,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,Passer montanus,,2,
Phylloscopus sibilatrix|NHMSYS0000530757|Wood Warbler|Animalia|Phylloscopidae,Phylloscopus sibilatrix,"(Bechstein, 1793)",,SPECIES,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus,Phylloscopus sibilatrix,,9,
Pipistrellus pipistrellus|NHMSYS0020001355|Common Pipistrelle|Animalia|Vespertilionidae,Pipistrellus pipistrellus,"(Schreber, 1774)",sensu stricto,SPECIES,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,Pipistrellus pipistrellus,,2110,
Pipistrellus pygmaeus|NBNSYS0100004720|Soprano Pipistrelle|Animalia|Vespertilionidae,Pipistrellus pygmaeus,"(Leach, 1825)",,SPECIES,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,Pipistrellus pygmaeus,,217,
Plantago media|NBNSYS0000004274|Hoary Plantain|Plantae|Plantaginaceae,Plantago media,L.,,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago,Plantago media,,1,
Plecotus auritus|NBNSYS0000005102|Brown Long-eared Bat|Animalia|Vespertilionidae,Plecotus auritus,"(Linnaeus, 1758)",,SPECIES,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Plecotus,Plecotus auritus,,26,
Plectrophenax nivalis|NHMSYS0000530776|Snow Bunting|Animalia|Calcariidae,Plectrophenax nivalis,"(Linnaeus, 1758)",,SPECIES,Animalia,Chordata,Aves,Passeriformes,Calcariidae,Plectrophenax,Plectrophenax nivalis,,15,
Pluvialis apricaria|NBNSYS0000000029|Golden Plover|Animalia|Charadriidae,Pluvialis apricaria,"(Linnaeus, 1758)",,SPECIES,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis apricaria,,68,
Podiceps auritus|NBNSYS0000000224|Slavonian Grebe|Animalia|Podicipedidae,Podiceps auritus,"(Linnaeus, 1758)",,SPECIES,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,Podiceps auritus,,1,
Poecile montanus|NHMSYS0001688302|Willow Tit|Animalia|Paridae,Poecile montanus,"(Conrad von Baldenstein, 1827)",,SPECIES,Animalia,Chordata,Aves,Passeriformes,Paridae,Poecile,Poecile montanus,,1,
